name,organization,homepage,logo,twitter,crunchbase_url,funding,member,relation,tag,license,headquarters,description,crunchbase_description,crunchbase_homepage,crunchbase_city,crunchbase_region,crunchbase_country,crunchbase_twitter,crunchbase_linkedin,crunchbase_ticker,crunchbase_kind,crunchbase_min_employees,crunchbase_max_employees,category,subcategory,oss,github_repo,github_stars,github_description,github_latest_commit_date,github_latest_commit_link,github_latest_release_date,github_latest_release_link,github_start_commit_date,github_start_commit_link,github_contributors_count,github_contributors_link,accepted,incubation,graduated,dev_stats_url,artwork_url,blog_url,mailing_list_url,slack_url,youtube_url,chat_channel,last_audit_date,last_audit_url
"Alluxio,",,https://github.com/Alluxio/alluxio,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,,,,,,,,,,,,,Storage,Data Architecture,,,,,,,,,,,,,,,,,,,,,,,,
Apache Druid,,https://druid.apache.org/,logos/e77a57be204261f1791c8dc3cbd1744113456b6bbaaf50783f28d3c7767b9752.svg,,,,,,,,,,,,,,,,,,,,,Storage,Data Architecture,,,,,,,,,,,,,,,,,,,,,,,,
Apache Flink,,https://flink.apache.org/,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,,,,,,,,,,,,,Storage,Data Architecture,,,,,,,,,,,,,,,,,,,,,,,,
Apache HBase,,https://hbase.apache.org/,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,,,,,,,,,,,,,Storage,Data Architecture,,,,,,,,,,,,,,,,,,,,,,,,
Apache Pinot,,https://pinot.apache.org/,logos/e77a57be204261f1791c8dc3cbd1744113456b6bbaaf50783f28d3c7767b9752.svg,,,,,,,,,,,,,,,,,,,,,Storage,Data Architecture,,,,,,,,,,,,,,,,,,,,,,,,
Apache Spark,,https://spark.apache.org/,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,,,,,,,,,,,,,Storage,Data Architecture,,,,,,,,,,,,,,,,,,,,,,,,
Apache Zeppelin,,https://zeppelin.apache.org/,logos/e77a57be204261f1791c8dc3cbd1744113456b6bbaaf50783f28d3c7767b9752.svg,,,,,,,,,,,,,,,,,,,,,Datascience,Data Science,,,,,,,,,,,,,,,,,,,,,,,,
Apla,,https://github.com/alpa-projects/alpa,logos/e77a57be204261f1791c8dc3cbd1744113456b6bbaaf50783f28d3c7767b9752.svg,,,,,,,,,,,,,,,,,,,,,Observability,Distributed Training,,,,,,,,,,,,,,,,,,,,,,,,
Armada,,https://armadaproject.io/,logos/e77a57be204261f1791c8dc3cbd1744113456b6bbaaf50783f28d3c7767b9752.svg,,,,,,,,,,,,,,,,,,,,,Provisioning,General Orchestration,,,,,,,,,,,,,,,,,,,,,,,,
BentoML,,https://github.com/bentoml/BentoML,logos/e77a57be204261f1791c8dc3cbd1744113456b6bbaaf50783f28d3c7767b9752.svg,,,,,,,,,,,,,,,,,,,,,CI/CD,CI/CD - Delivery,,,,,,,,,,,,,,,,,,,,,,,,
